id,Rings
90615,9
90616,9
90617,9
90618,9
90619,9
90620,9
90621,9
90622,9
90623,9
90624,9
90625,9
90626,9
90627,9
90628,9
90629,9
90630,9
90631,9
90632,9
90633,9
90634,9
90635,9
90636,9
90637,9
90638,9
90639,9
90640,9
90641,9
90642,9
90643,9
90644,9
90645,9
90646,9
90647,9
90648,9
90649,9
90650,9
90651,9
90652,9
90653,9
90654,9
90655,9
90656,9
90657,9
90658,9
90659,9
90660,9
90661,9
90662,9
90663,9
90664,9
90665,9
90666,9
90667,9
90668,9
90669,9
90670,9
90671,9
90672,9
90673,9
90674,9
90675,9
90676,9
90677,9
90678,9
90679,9
90680,9
90681,9
90682,9
90683,9
90684,9
90685,9
90686,9
90687,9
90688,9
90689,9
90690,9
90691,9
90692,9
90693,9
90694,9
90695,9
90696,9
90697,9
90698,9
90699,9
90700,9
90701,9
90702,9
90703,9
90704,9
90705,9
90706,9
90707,9
90708,9
90709,9
90710,9
90711,9
90712,9
90713,9
90714,9
90715,9
90716,9
90717,9
90718,9
90719,9
90720,9
90721,9
90722,9
90723,9
90724,9
90725,9
90726,9
90727,9
90728,9
90729,9
90730,9
90731,9
90732,9
90733,9
90734,9
90735,9
90736,9
90737,9
90738,9
90739,9
90740,9
90741,9
90742,9
90743,9
90744,9
90745,9
90746,9
90747,9
90748,9
90749,9
90750,9
90751,9
90752,9
90753,9
90754,9
90755,9
90756,9
90757,9
90758,9
90759,9
90760,9
90761,9
90762,9
90763,9
90764,9
90765,9
90766,9
90767,9
90768,9
90769,9
90770,9
90771,9
90772,9
90773,9
90774,9
90775,9
90776,9
90777,9
90778,9
90779,9
90780,9
90781,9
90782,9
90783,9
90784,9
90785,9
90786,9
90787,9
90788,9
90789,9
90790,9
90791,9
90792,9
90793,9
90794,9
90795,9
90796,9
90797,9
90798,9
90799,9
90800,9
90801,9
90802,9
90803,9
90804,9
90805,9
90806,9
90807,9
90808,9
90809,9
90810,9
90811,9
90812,9
90813,9
90814,9
90815,9
90816,9
90817,9
90818,9
90819,9
90820,9
90821,9
90822,9
90823,9
90824,9
90825,9
90826,9
90827,9
90828,9
90829,9
90830,9
90831,9
90832,9
90833,9
90834,9
90835,9
90836,9
90837,9
90838,9
90839,9
90840,9
90841,9
90842,9
90843,9
90844,9
90845,9
90846,9
90847,9
90848,9
90849,9
90850,9
90851,9
90852,9
90853,9
90854,9
90855,9
90856,9
90857,9
90858,9
90859,9
90860,9
90861,9
90862,9
90863,9
90864,9
90865,9
90866,9
90867,9
90868,9
90869,9
90870,9
90871,9
90872,9
90873,9
90874,9
90875,9
90876,9
90877,9
90878,9
90879,9
90880,9
90881,9
90882,9
90883,9
90884,9
90885,9
90886,9
90887,9
90888,9
90889,9
90890,9
90891,9
90892,9
90893,9
90894,9
90895,9
90896,9
90897,9
90898,9
90899,9
90900,9
90901,9
90902,9
90903,9
90904,9
90905,9
90906,9
90907,9
90908,9
90909,9
90910,9
90911,9
90912,9
90913,9
90914,9
90915,9
90916,9
90917,9
90918,9
90919,9
90920,9
90921,9
90922,9
90923,9
90924,9
90925,9
90926,9
90927,9
90928,9
90929,9
90930,9
90931,9
90932,9
90933,9
90934,9
90935,9
90936,9
90937,9
90938,9
90939,9
90940,9
90941,9
90942,9
90943,9
90944,9
90945,9
90946,9
90947,9
90948,9
90949,9
90950,9
90951,9
90952,9
90953,9
90954,9
90955,9
90956,9
90957,9
90958,9
90959,9
90960,9
90961,9
90962,9
90963,9
90964,9
90965,9
90966,9
90967,9
90968,9
90969,9
90970,9
90971,9
90972,9
90973,9
90974,9
90975,9
90976,9
90977,9
90978,9
90979,9
90980,9
90981,9
90982,9
90983,9
90984,9
90985,9
90986,9
90987,9
90988,9
90989,9
90990,9
90991,9
90992,9
90993,9
90994,9
90995,9
90996,9
90997,9
90998,9
90999,9
91000,9
91001,9
91002,9
91003,9
91004,9
91005,9
91006,9
91007,9
91008,9
91009,9
91010,9
91011,9
91012,9
91013,9
91014,9
91015,9
91016,9
91017,9
91018,9
91019,9
91020,9
91021,9
91022,9
91023,9
91024,9
91025,9
91026,9
91027,9
91028,9
91029,9
91030,9
91031,9
91032,9
91033,9
91034,9
91035,9
91036,9
91037,9
91038,9
91039,9
91040,9
91041,9
91042,9
91043,9
91044,9
91045,9
91046,9
91047,9
91048,9
91049,9
91050,9
91051,9
91052,9
91053,9
